Song Title,Artist,Lyrics,Emotion Label
双葉 (Futaba),あいみょん,"5 ContributorsTranslationsRomanization双葉 (Futaba) Lyrics[あいみょん「双葉」歌詞]  [Verse 1] サヨナラが近づいている その意味に悩まされる 八の字に曲がった君の眉が 懐かしい 思い出すよ  [Verse 2] 出会いの記念日 荒れた頬に あたたかいキスをくれたね 泣きベソの顔 ひどく汚れて 一緒に笑ったよね  [Pre-Chorus] もう覚えている 全部が青になる あの日よりも少し遠くで 今伝えたいことが  [Chorus] 君も大人になったら 恋をするんだよ 運命の人に出会うまでは 傷が絶えないかもだけど 悲しみなんかは 気づけば雨になる 心耕し 花が咲くまで 可愛く揺れなよ 双葉 You might also like[Verse 3] 約束の春が訪れて あたたかい空気をこぼして まるで君との会話みたいで 幸せって今思ったよ  [Pre-Chorus] ずっと忘れないで 胸の中に落ちて 誰も知らないところで いつかまた 瞳を覗かせて  [Chorus] 君が大人になったら 見つけるその夢を 限りなく側で見ていたくても もう叶わないらしいからさ 喜び全部を空に巻き散らして 目には見えない愛を降らせて 伝えて欲しいよ 双葉  [Post-Chorus] 涙の謎を教えて もう一度会いたいけれど  [Bridge] 君の夢の中へ 遊びに行くからね 心の傷も酷い言葉も 受け止めてあげるぞ [Chorus] 君も大人になったら 恋をするんだよ 運命の人に出会うまでは 傷が絶えないかもだけど 悲しみなんかは 気づけば雨になる 心耕し 花が咲くまで 可愛く揺れなよ 双葉 可愛く揺れなよ 双葉  [Outro] 可愛く揺れなよ 双葉Embed",Anticipation
ざらめ (Zarame),あいみょん,"4 ContributorsTranslationsRomanizationざらめ (Zarame) Lyrics[​あいみょん「ざらめ」歌詞]  [Verse 1] この胸に刺さった 無名の刃を抜く術は何処 そろそろ こうしてちゃ 手も足も犠牲になるな  [Verse 2] どんな角度で狙ってくるのか 予測できない 今すぐ逃げられる強さは 持ち合わせてなかった  [Pre-Chorus] ""感情を殺せ""  ""惨さは承知で"" 自分の胸ぐらを掴んで泣いた  [Chorus] 消えないで 消えないで 消えないで 言い聞かせて また 整える 変わりたい 躊躇わず生きる人に この長い森の道を 正しく歩けるように  [Verse 3] やっと見つけた居場所 いつの間に声も出せずに潰れる 押し込んで膨らむ 本当のこと 滲んだノート You might also like[Pre-Chorus] ""現状を剥がせ"" ""痛みは承知で"" 何度も巡らせ 分からなくなった  [Chorus] 行かないで 行かないで 行かないで そう唱えて また 閉じ込める 進みたい それなのに脅されている 今闘うべきものは 呪われた自分の身体  [Bridge] ""感情を殺せ""  ""惨さは承知で"" 自分の胸ぐらを掴んで泣いた  [Chorus] 消えないで 消えないで 消えないで 言い聞かせて また 整える 変わりたい 躊躇わず生きる人に この長い森の道を 正しく歩けるように  [Outro] この胸に残った鉛の屑は いつか溶けるだろうかEmbed",Disgust
マリーゴールド (Marigold),あいみょん,5 ContributorsTranslationsRomanizationマリーゴールド (Marigold) Lyrics[​あいみょん「マリーゴールド」歌詞]  [Verse 1] 風の強さがちょっと心を揺さぶりすぎて 真面目に見つめた君が恋しい  [Verse 2] でんぐり返しの日々可哀想なふりをして だらけてみたけど希望の光は  [Pre-Chorus] 目の前でずっと輝いている 幸せだ  [Chorus] 麦わらの帽子の君が 揺れたマリーゴールドに似てる あれは空がまだ青い夏のこと 懐かしいと笑えたあの日の恋 「もう離れないで」と 泣きそうな目で見つめる君を 雲のような優しさでそっとぎゅっと 抱きしめて 抱きしめて 離さない  [Verse 3] 本当の気持ち全部 吐き出せるほど強くはない でも不思議なくらいに 絶望は見えない You might also like[Pre-Chorus] 目の奥にずっと写るシルエット 大好きさ  [Chorus] 柔らかな肌を寄せあい 少し冷たい空気を2人 かみしめて歩く今日という日に 何と名前をつけようかなんて話して ああ アイラブユーの言葉じゃ 足りないからとキスして 雲がまだ2人の影を残すから いつまでも いつまでも このまま  [Bridge] 遥か遠い場所にいても 繋がっていたいなあ 2人の想いが 同じでありますように  [Chorus] 麦わらの帽子の君が 揺れたマリーゴールドに似てる あれは空がまだ青い夏のこと 懐かしいと笑えたあの日の恋 「もう離れないで」と 泣きそうな目で見つめる君を 雲のような優しさでそっとぎゅっと 抱きしめて離さない ああ アイラブユーの言葉じゃ 足りないからとキスして 雲がまだ2人の影を残すから いつまでも いつまでも このまま [Outro] 離さない いつまでも いつまでも 離さないEmbed,Joy
裸の心 (Naked Heart),あいみょん,3 Contributors裸の心 (Naked Heart) Lyrics​あいみょん「裸の心」の歌詞 いったいこのままいつまで 1人でいるつもりだろう だんだん自分を憎んだり 誰かを羨んだり  いつかいつかと 言い聞かせながら 今日まで沢山愛してきた そして今も  この恋が実りますように 少しだけ少しだけ そう思わせて 今、私　恋をしている 裸の心　抱えて  バイバイ愛しの思い出と 私の夢見がちな憧れ 優しくなれたよ　少しね 強くもなれたみたい  どんな未来も 受け止めてきたの 今まで沢山夜を越えた そして今も You might also likeこの恋の行く先なんて 分からない　分からない ただ想いを 今、私　伝えに行くから 裸の心　受けとめて  恋なんてしなきゃよかったと あの時も　あの夜も 思っていたの 今、私　また恋をしている 裸の心　震わせて  この恋が実りますように 少しだけ少しだけ そう思わせて 今、私　恋をしている 裸の心　抱えてEmbed,Anticipation
愛を知るまでは (Till I Know What Love Is (I’m Never Gonna Die)),あいみょん,4 Contributors愛を知るまでは (Till I Know What Love Is (I’m Never Gonna Die)) Lyrics[あいみょん「 愛を知るまでは 」歌詞]  いざ、手のなる方へと 導いたのは　誰でもない自分自身なのに 自身がない上　笑っちゃうな もたついている空気が抜けたままの体  走れど走れど続く 人生という名の　死ぬまでのエピソードは 軽いままの身体では 吹き飛ばされて　すぐに終わってしまうな  他の誰にも無い　そう思っていたいのにな 無理矢理に抱きしめていた 心を今　解いて  優しい心を持ちたいのだけれど 時にはがむしゃらに怒って 涙は真に受け止める 愛を知るまでは死ねない私なのだ 導かれた運命辿って 今日も明日も生きて行こう  目の前に見えた星は　幾千年の輝きを失いそう 夢で終わる夢ならば 見なくていいと　自分に言い聞かせた You might also likeあー、まだ咲ききれない 花のような毎日だなぁ 無茶苦茶に走り続けた 身体を今休めて  交わることのない誰かと巡り合い 無限に広がる雲に乗って 見たことのない虹を見たい 愛を知るまでは死ねない私なのだ 導かれる運命頼って 今日も明日も生きて行こう  あー、誰にもないものを持っていたいのになぁ 無理矢理に抱きしめてた 心を今解いて  優しい心を持ちたいのだけれど 時にはがむしゃらに怒って 涙は真に受け止める 愛を知るまでは死ねない私なのだ 導かれた運命辿って 今日も明日も生きて行こうEmbed,Sadness
愛の花 (ai no hana),あいみょん,4 ContributorsTranslationsRomanization愛の花 (ai no hana) Lyrics[あいみょん「愛の花」歌詞]  [Verse 1] 言葉足らずの愛を 愛を貴方へ 私は決して今を 今を憎んではいない  [Verse 2] 歪んだ雲が空を 空を濁して 私の夢は全て 全て置いてきたの  [Pre-Chorus] 命ある日々 静かに誰かを 愛した日々  [Chorus] 空が晴れたら 愛を 愛を伝えて 涙は明日の為 新しい花の種  [Verse 3] 恋に焦がれた人は 人は 天の上 いつかあの場所で強く 強く手を結び抱いて You might also like[Pre-Chorus] 緑ゆれてる 貴方の声が聴こえた気がする  [Chorus] 空が晴れたら 逢いに 逢いに来て欲しい 涙は枯れないわ 明日へと繋がる輪  [Instrumental]  [Bridge] 木漏れ日と笑う 大切な人を 失う未来なんてこないで？  [Pre-Chorus] 空が晴れずとも 愛を胸に祈るわ 貴方に刺さる雨が 風になり 夢を呼び 光になるまで  [Chorus] 空が晴れたら 愛を 愛を伝えて 涙は明日の為 新しい花の種 空が晴れたら 逢いに 逢いに来て欲しい 涙は枯れないわ 明日へと繋がる輪 [Outro] 言葉足らずの愛を 愛の花をあなたへEmbed,Anticipation
あのね (Anone),あいみょん,3 ContributorsTranslationsRomanizationあのね (Anone) Lyrics[あいみょん「あのね」歌詞]  [Verse 1] さよなら その口癖は 誰譲りなの会うたびに 寂しく なるのよ少し 手を振るだけで消えてしまうようで  [Verse 2] 私が描きすぎてる 明るい明日に 君も いる ガラスの鳥の背中に またがる私 笑う君と天使  [Pre-Chorus] 昨日にはなかったもの みせてあげたい会いたい  [Chorus] 寝癖がある君の方が なんだか生きているって感じる まだ幼い顔つきで怒る その口の形も愛おしい  孤独を移す影や歩幅 スピード取り戻してあげたい 潰れそうな 何かがあるなら 後ろから抱きしめる 許されるまで強く You might also like[Instrumental]  [Verse 3] ありがとう そのセリフには 不安もよぎる 不思議だね 素敵な言葉なんだと 教わったはずなのに 消えて しまいそうで  [Pre-Chorus] あの水溜まりを越えられたら きっとこれからは会えるんだ  [Chorus] 許されない願い事が あるとは 信じたくはないんだよ つま先立つ沈まないように それなのになぜだろう 君が遠い 伸びてく影が少しだけ 増えて 何か言おうとしていた 通り雨は君の涙さえ私に見せなかったの  [Bridge] 漂う予感に惑わされてしまわないように 信じてる信じてる 君の言う矛盾に隠れているほんとの気持ちに 気づいている気づいているから [Chorus] 寝癖がある君のほうが なんだか生きているって感じる まだ幼い顔つきで怒る その口の形も愛おしい 孤独を写す影や歩幅スピード 取り戻してあげたい 潰れそうな 何かがあるなら 後ろから抱きしめる 許されるまで強くEmbed,Disgust
愛を伝えたいだとか (Ai Wo Tsutaetaidatoka),あいみょん,4 ContributorsTranslations한국어Romanization愛を伝えたいだとか (Ai Wo Tsutaetaidatoka) Lyrics[​あいみょん「愛を伝えたいだとか」歌詞]  [Verse 1] 健康的な朝だな こんな時に君の“愛してる”が聞きたいや (ああ、ああ) 揺れるカーテン 少し浮いた前髪も すべて心地いいさ (ああ)  [Verse 2] それに割れてしまった目玉焼き ついてないなあ バランスをとっても溢れちゃうや (ああ、ああ) 少し辛くて 少し酸っぱくて 甘ったるかったりさ とりあえず今日は  [Chorus] バラの花に願い込めてさ 馬鹿な夢で踊ろう (ああ) 愛を伝えたいだとか 臭いことばっか考えて待ってても だんだんソファに沈んでいくだけ 僕が明日良い男になるわけでもないからさ 焦らずにいるよ 今日は日が落ちる頃に会えるの？ You might also like[Verse 3] “完璧な男になんて惹かれない”と 君が笑ってたから悔しいや (ああ、ああ) 腐るほどに話したいこと沢山あるのにな 寂しいさ (ああ)  [Verse 4] 結局のところ君はさ どうしたいの？ まじで僕に愛される気あんの？ (おお、おお) 雫が落ちてる 窓際目の際お気に入りの花 とりあえず今日は  [Chorus] 部屋の明かり早めに消してさ どうでもいい夢を見よう (ああ) 明日は2人で過ごしたいなんて 考えていてもドアは開かないし だんだんおセンチになるだけだ僕は 愛が何だとか言うわけでもないけど ただ切ないと言えばキリがないくらいなんだ もう嫌だ  [Bridge] ろうそく炊いて バカでかいケーキがあっても 君が食いつくわけでもないだろう 情けないずるい事ばかりを 考えてしまう今日は [Chorus] バラの花もないよ 汚れてるシャツに履き慣れたジーパンで 愛を伝えたいだとか 臭いことばっか考えて待ってても だんだんソファに沈んでいくだけ 僕が明日良い男になるわけでもないからさ 焦らずにいるよ 今日は日が落ちる頃に会えるの？Embed,Anticipation
ノット・オーケー (NOT OK),あいみょん,3 ContributorsTranslationsRomanizationノット・オーケー (NOT OK) Lyrics[あいみょん「ノット・オーケー」歌詞]  [Verse 1] 想像ができる ひとりで居ること ２日目の湯船も 透き通っているんだろう  [Verse 2] あなたが居ない風に話すのも ５日目で慣れるだろう バレずに過ごすだろう  [Pre-Chorus] そんな悲しいことばかりを 考える隙間があるのも 悲しいことだね 今までもね そんなことの繰り返しだったかい  [Chorus] これが最後の恋でも 理解はできるだろう せめて それまでは ふたりで ふたりで たぶらかして生きていよう ダメに成る時は成るでしょう せめて それまでは ふたり You might also like[Verse 3] 立ちながら寝れる そんな冗談に 笑えてた1年目を ふと思い出して 笑う  [Pre-Chorus] 今は正しい 答えもまだ 見つけられないまま居座って 居づらくなっては 飛び出してく そんなことの繰り返しなんだよな  [Chorus] 壊れちゃった妄想の 破片を踏んづけて 痛みで 泣いたんだ あなたの  あなたの 破いてしまった心 縫い繋げられるのなら せめてとりあえず ふたり  [Brigge] 誰もが夢を見る 幸せのラストを 望み通りに進めるほど あなたは簡単じゃない [Chorus] これが最後の恋でも 理解はできるだろう せめて それまでは ふたりで ふたりで たぶらかして生きていよう ダメに成る時は成るでしょう せめて それまでは ふたり  [Outro] 想像ができる ひとりで居ること ２日目の湯船も 透き通っているんだろうEmbed,Sadness
サラバ (Saraba),あいみょん,2 Contributorsサラバ (Saraba) Lyrics[あいみょん「サラバ」歌詞]  最終電車が走る 気づかずゆっくり歩く 知らずに今日が終わって行く  どうでもいいから歩く そんなの気にせず歩く 知らず知らずにもうこの街  Rainy way 歩けば 哀しみはまた一つの味になるさ 歩こう 進もう 今は 涙とは サラバ  考えることをやめる キリがないよ罪悪感 最低な事ばかりが浮かぶ  駅前で寝腐るのもいいな 誰か拾ってくれんかな そうやってつも人に頼る  Rainy way 歩けば 哀しみがまた一つの糧になるさ 歩こう 進もう 今は 涙とは サラバYou might also likeEmbed,Sadness
